3	7
4	12
19	11
1	7
18	10
9	9
10	8
2	11
18	9
17	11
6	14
2	8
6	13
13	14
5	13
9	8
3	8
11	11
2	14
2	7
9	8
17	10
2	6
10	7
4	10
14	14
2	9
1	10
0	12
6	12
4	4
7	14
3	5
9	7
0	9
3	4
3	11
15	14
17	11
16	12
0	12
16	8
4	9
9	16
17	11
18	13
17	15
2	8
10	0
18	11
10	5
9	10
4	6
15	9
2	12
14	5
15	12
14	9
12	6
7	9
5	14
5	14
17	10
7	12
5	5
9	10
8	15
14	2
8	6
18	9
19	17
4	9
13	10
10	4
13	11
16	10
7	5
10	5
3	9
14	2
5	4
3	10
9	6
14	9
2	10
4	9
11	15
8	9
18	10
10	9
4	7
2	5
19	9
8	11
6	7
19	10
11	6
17	5
9	4
2	13
12	12
4	13
4	9
0	13
14	12
13	3
17	11
14	8
14	13
7	6
12	9
16	8
3	13
2	5
8	9
15	10
0	10
18	9
8	11
1	13
11	5
10	11
17	12
13	5
5	8
13	6
3	11
14	12
9	8
15	8
16	13
12	10
10	9
19	12
1	6
7	7
4	12
9	7
10	13
8	8
6	10
7	8
16	12
3	12
3	15
7	7
7	16
3	12
8	9
14	9
11	16
7	14
16	9
13	7
19	8
4	9
18	8
18	8
15	6
12	3
9	9
19	9
11	12
3	5
7	4
9	14
16	13
12	6
5	9
11	10
12	12
0	5
6	13
10	3
2	8
17	12
6	13
15	11
11	11
5	8
8	7
8	13
13	10
8	10
19	11
9	13
4	11
14	4
6	10
2	7
10	10
16	8
5	10
14	11
5	9
11	10
2	9
1	10
13	8
8	4
5	16
6	11
15	8
5	8
7	9
15	8
17	7
3	5
17	5
18	1
13	12
5	8
15	7
18	13
9	14
7	9
8	3
0	9
16	13
17	6
12	12
6	13
13	18
17	9
12	14
14	7
14	14
6	9
8	12
2	6
15	13
13	14
14	11
8	9
14	10
16	10
19	3
2	8
3	14
15	8
4	6
17	13
15	6
0	8
0	10
1	10
9	9
17	15
13	11
15	9
7	6
3	6
9	7
10	12
8	14
8	11
11	9
7	16
7	9
14	6
11	13
1	12
0	12
11	9
3	10
5	9
15	6
2	3
3	8
12	4
5	8
9	10
19	11
3	11
9	9
6	13
4	11
17	11
4	5
14	6
10	14
17	10
17	3
17	9
6	10
15	14
15	12
11	8
4	6
10	13
16	9
18	8
9	14
7	13
9	13
11	5
10	6
14	0
14	10
5	10
13	7
6	9
2	8
11	14
15	9
17	12
12	13
12	11
3	10
4	9
19	12
1	10
15	15
17	7
13	9
2	11
5	6
3	11
15	11
12	11
17	8
9	11
3	13
16	14
14	12
9	8
16	4
10	10
13	9
1	11
11	15
4	10
17	9
7	7
13	9
8	12
11	13
14	9
11	14
3	11
4	12
2	9
2	7
6	10
10	5
0	12
12	10
14	12
19	12
17	13
5	11
3	9
19	7
3	7
1	12
1	12
11	11
17	9
19	11
8	12
15	13
6	13
16	10
15	7
16	13
18	7
14	3
17	9
6	12
17	12
1	8
2	13
10	10
12	8
15	11
3	7
19	11
19	10
17	12
5	11
15	14
19	10
1	10
2	10
2	12
1	15
7	9
1	5
19	11
2	10
8	8
12	16
0	12
18	11
8	5
8	7
3	8
2	13
1	7
16	10
4	13
19	4
4	6
4	9
16	10
14	12
1	10
10	5
7	18
17	11
2	13
4	9
14	9
14	8
16	12
12	10
1	10
3	10
8	10
2	5
7	2
16	5
14	13
13	4
18	10
15	8
14	7
8	6
6	12
2	15
7	13
13	12
12	15
6	5
11	10
2	13
7	11
11	8
0	11
13	9
6	10
10	7
5	12
15	8
9	10
5	7
3	10
2	14
14	10
17	9
19	7
3	7
1	11
10	8
8	8
10	10
0	11
9	11
6	5
18	15
5	6
4	11
2	12
18	7
0	12
12	12
1	8
4	10
7	13
4	8
9	15
3	7
8	10
3	6
17	11
17	11
8	10
18	10
12	6
7	10
4	8
6	13
4	9
1	6
19	6
16	3
16	7
6	15
0	9
19	13
9	7
14	11
13	9
13	10
16	9
11	10
1	6
4	17
1	6
14	8
